../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
Processing ../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 191-191
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 193-193
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 196-196
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 125-125
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 126-126
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 127-127
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 129-129
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 130-130
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 131-131
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 132-132
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 134-134
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 137-137
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 140-140
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 141-141
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 148-148
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 149-149
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 150-150
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 160-160
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 163-163
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 164-164
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 165-165
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 169-169
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 172-172
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 111-111
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 112-112
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 113-113
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 114-114
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 173-173
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 173-176
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 180-180
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 181-181
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 185-185
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 197-197
/home/ubuntu/debloating_templates/hotcrp/lib/json.php: 6-6
/home/ubuntu/debloating_templates/hotcrp/lib/json.php: 7-7
/home/ubuntu/debloating_templates/hotcrp/lib/json.php: 9-9
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 39-39
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 44-44
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 55-55
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 60-60
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 66-66
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 67-67
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 72-72
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 73-73
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 76-76
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 79-79
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 82-82
/home/ubuntu/debloating_templates/hotcrp/lib/polyfills.php: 85-85
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 73-73
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 10-10
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 16-16
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 23-23
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 29-29
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 43-43
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 61-61
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 70-70
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 79-79
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 89-89
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 103-103
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 120-120
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 126-126
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 130-130
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 131-131
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 134-134
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 142-142
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 147-147
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 154-154
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 171-171
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 183-183
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 213-213
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 217-217
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 231-231
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 243-243
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 248-248
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 257-257
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 270-270
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 280-280
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 290-290
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 296-296
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 303-303
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 306-306
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 314-314
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 325-325
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 337-337
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 350-350
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 360-360
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 374-374
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 393-393
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 417-417
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 422-422
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 435-435
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 445-445
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 450-450
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 458-458
/home/ubuntu/debloating_templates/hotcrp/lib/base.php: 459-459
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 74-74
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 6-6
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 19-19
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 75-75
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 76-76
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 78-78
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 142-142
